,app_name,publisher,discount_price,early_access,genres,id,metascore,price,developer,release_date,reviews_url,sentiment,tags,title,url
1888,Gloomhaven,Asmodee Digital,389.99,0,"Adventure,RPG,Strategy",780290.0,79.0,389.99,Flaming Fowl StudiosAsmodee Digital,20 Oct 2021,http://steamcommunity.com/app/780290/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Tabletop,Co-op,RPG,Turn-Based,Dungeon Crawler,Board Game,Strategy,Turn-Based Strategy,Adventure,Turn-Based Tactics,Singleplayer,Multiplayer,Hex Grid,Tactical RPG,Early Access,Replay Value,Online Co-Op,Roguelike,Difficult,3D",Gloomhaven,https://store.steampowered.com/app/780290/Gloomhaven/
2010,ElecHead,NamaTakahashi,85.49,0,"Action,Adventure,Indie",1456880.0,84.0,85.49,"NamaTakahashi, TsuyomiNamaTakahashi",14 Oct 2021,http://steamcommunity.com/app/1456880/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Puzzle Platformer,Puzzle,Platformer,Linear,Action,Pixel Graphics,Adventure,Retro,Singleplayer,Indie,2D,2D Platformer,Cute,Minimalist,Robots,Controller",ElecHead,https://store.steampowered.com/app/1456880/ElecHead/
2013,The Riftbreaker,"EXOR Studios, Surefire.Games",103.99,0,"Action,Adventure,Indie,RPG,Simulation,Strategy",780310.0,83.0,103.99,"EXOR StudiosEXOR Studios, Surefire.Games",14 Oct 2021,http://steamcommunity.com/app/780310/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Base Building,Strategy,Tower Defense,Survival,Hack and Slash,Crafting,Sci-fi,Action RPG,Adventure,Resource Management,Building,Simulation,Exploration,RPG,Isometric,Loot,Sandbox,Action,Atmospheric,Aliens",The Riftbreaker,https://store.steampowered.com/app/780310/The_Riftbreaker/
2043,Circuit Superstars,Square Enix,901.0,0,Racing,1097130.0,82.0,1060.0,Original Fire GamesSquare Enix,12 Oct 2021,http://steamcommunity.com/app/1097130/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Racing,Driving,Sports,Top-Down,Automobile Sim,Simulation,Singleplayer,Multiplayer,Arcade,Split Screen,Retro,Old School,Local Multiplayer,4 Player Local,Offroad,Casual,Action,Difficult,Indie,Replay Value",Circuit Superstars,https://store.steampowered.com/app/1097130/Circuit_Superstars/
2075,Time Commando,[2.21],59.24,0,Action,1758910.0,80.0,78.99,[2.21][2.21],2.21]Publisher:[2.21] 31 Jul 1996,http://steamcommunity.com/app/1758910/reviews/?browsefilter=mostrecent&p=1,Positive,"1990's,Side Scroller,Beat 'em up,Martial Arts,2.5D,Historical,Swordplay,Action,World War I,Rome,Western,Pirates,Ninja,Sci-fi,World War II,Medieval,War,Futuristic,Combat,Singleplayer",Time Commando,https://store.steampowered.com/app/1758910/Time_Commando/
2157,Rainbow Billy: The Curse of the Leviathan,Skybound Games,329.99,0,"Adventure,Indie,RPG",1106830.0,82.0,329.99,ManaVoid EntertainmentSkybound Games,5 Oct 2021,http://steamcommunity.com/app/1106830/reviews/?browsefilter=mostrecent&p=1,Positive,"Indie,Adventure,Turn-Based Combat,Story Rich,Emotional,Cute,Exploration,Family Friendly,Creature Collector,Funny,RPG,Conversation,Colorful,Fishing,Puzzle Platformer,Puzzle,Cartoon,LGBTQ+,Singleplayer,Quick-Time Events",Rainbow Billy: The Curse of the Leviathan,https://store.steampowered.com/app/1106830/Rainbow_Billy_The_Curse_of_the_Leviathan/
2292,Bonfire Peaks,Draknek,110.49,0,Indie,1147890.0,81.0,110.49,Corey MartinDraknek,30 Sep 2021,http://steamcommunity.com/app/1147890/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Puzzle,Sokoban,Indie,Difficult,Adventure,Atmospheric,Voxel,3D,Grid-Based Movement,Nonlinear,Cinematic,Pixel Graphics,Relaxing,Stylized,Open World,Third Person,Singleplayer,Family Friendly,Retro",Bonfire Peaks,https://store.steampowered.com/app/1147890/Bonfire_Peaks/
2312,A Juggler's Tale,Mixtvision,37.79,0,"Action,Adventure,Indie",1252830.0,74.0,37.79,kaleidoscubeMixtvision,29 Sep 2021,http://steamcommunity.com/app/1252830/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Atmospheric,Fantasy,Story Rich,Beautiful,Platformer,Narration,Puzzle Platformer,Medieval,Female Protagonist,Physics,Singleplayer,Adventure,Indie,Action",A Juggler's Tale,https://store.steampowered.com/app/1252830/A_Jugglers_Tale/
2331,UnMetal,Versus Evil,208.48,0,"Action,Adventure,Indie",1203710.0,82.0,208.48,@unepic_franVersus Evil,28 Sep 2021,http://steamcommunity.com/app/1203710/reviews/?browsefilter=mostrecent&p=1,Very Positive,"2D,Pixel Graphics,Old School,Action,Comedy,Adventure,Indie,Retro,1980s,Funny,Military,Action-Adventure,Top-Down,Satire,Singleplayer,Stealth,War,Parody,Cold War,1990's",UnMetal,https://store.steampowered.com/app/1203710/UnMetal/
2357,Nanotale - Typing Chronicles,"Fishing Cactus, PID Games, 2PGames",67.99,0,"Adventure,RPG",944920.0,68.0,67.99,"Fishing CactusFishing Cactus, PID Games, 2PGames",2PGamesFranchise:Typing Chronicles 31 Mar 2021,http://steamcommunity.com/app/944920/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Adventure,Typing,Exploration,RPG,Atmospheric,Story Rich,Female Protagonist,Indie,Action RPG,Magic,Narration,Puzzle,Relaxing,Fantasy,Colorful,Top-Down,Family Friendly,Narrative,Beautiful,Great Soundtrack",Nanotale - Typing Chronicles,https://store.steampowered.com/app/944920/Nanotale__Typing_Chronicles/
2409,Sable,Raw Fury,336.75,0,"Adventure,Indie,Racing",757310.0,76.0,449.0,ShedworksRaw Fury,23 Sep 2021,http://steamcommunity.com/app/757310/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Exploration,Open World,Story Rich,Indie,Adventure,Female Protagonist,Puzzle,Stylized,3D Platformer,Third Person,Relaxing,Lore-Rich,Atmospheric,Platformer,Singleplayer,Spaceships,Racing,Puzzle Platformer,Comic Book,Sci-fi",Sable,https://store.steampowered.com/app/757310/Sable/
2504,Tails of Iron,"United Label, CI Games",43.19,0,"Action,Adventure,Indie",1283410.0,81.0,43.19,"Odd Bug StudioUnited Label, CI Games",17 Sep 2021,http://steamcommunity.com/app/1283410/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Action RPG,Adventure,Souls-like,Action-Adventure,Story Rich,Combat,Difficult,2D,Narration,RPG,Action,Fantasy,Atmospheric,Dark Fantasy,Singleplayer,Character Customization,2.5D,Medieval,Swordplay,Inventory Management",Tails of Iron,https://store.steampowered.com/app/1283410/Tails_of_Iron/
2507,TOEM,Something We Made,78.74,0,"Adventure,Casual,Indie",1307580.0,79.0,78.74,Something We MadeSomething We Made,17 Sep 2021,http://steamcommunity.com/app/1307580/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"Adventure,Puzzle,Exploration,Point & Click,Cute,2D,Relaxing,Casual,Hand-drawn,Funny,Family Friendly,Hidden Object,Atmospheric,Singleplayer,Cartoon,Music,Soundtrack,Stylized,Nature,Cartoony",TOEM,https://store.steampowered.com/app/1307580/TOEM/
2520,Gamedec,Anshar Publishing,558.4,0,"Adventure,Indie,RPG",917720.0,72.0,558.4,Anshar StudiosAnshar Publishing,16 Sep 2021,http://steamcommunity.com/app/917720/reviews/?browsefilter=mostrecent&p=1,Very Positive,"CRPG,Cyberpunk,Isometric,Detective,Choices Matter,Choose Your Own Adventure,Lore-Rich,RPG,Character Customization,Exploration,Noir,Story Rich,Text-Based,Transhumanism,Narration,Multiple Endings,Nonlinear,Conversation,Point & Click,Atmospheric",Gamedec,https://store.steampowered.com/app/917720/Gamedec/
2530,Clash of Chefs VR,Unknown,157.49,0,Unknown,960040.0,68.0,224.99,Unknown,unknown,http://steamcommunity.com/app/960040/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Casual,Simulation,Indie,VR,Early Access,Multiplayer,Singleplayer,Action,Arcade,Comedy,Family Friendly,Management,Funny,PvP,6DOF,Physics,Competitive,Asynchronous Multiplayer,Sports,Cooking",Clash of Chefs VR,https://store.steampowered.com/app/960040/Clash_of_Chefs_VR/
2545,Gas Station Simulator,"Movie Games S.A., HeartBeat Games",179.99,0,"Indie,Simulation",1149620.0,71.0,224.99,"DRAGO entertainmentMovie Games S.A., HeartBeat Games",15 Sep 2021,http://steamcommunity.com/app/1149620/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Simulation,Indie,Building,Economy,Base Building,Singleplayer,Realistic,Open World,Crafting,First-Person,Relaxing,Multiplayer,Casual,Funny,Design & Illustration,Memes,Family Friendly,Choices Matter,Destruction,Education",Gas Station Simulator,https://store.steampowered.com/app/1149620/Gas_Station_Simulator/
2581,Evil Genius 2: Portal Pack,Rebellion,0.0,0,"Simulation,Strategy",1531605.0,75.0,0.0,RebellionRebellion,14 Sep 2021,http://steamcommunity.com/app/1531605/reviews/?browsefilter=mostrecent&p=1,Positive,"Strategy,Simulation",Evil Genius 2: Portal Pack,https://store.steampowered.com/app/1531605/Evil_Genius_2_Portal_Pack/
2582,Evil Genius 2:  Mechanical Minions Pack,Rebellion,53.99,0,"Simulation,Strategy",1531606.0,75.0,53.99,RebellionRebellion,14 Sep 2021,http://steamcommunity.com/app/1531606/reviews/?browsefilter=mostrecent&p=1,Mixed,"Strategy,Simulation",Evil Genius 2:  Mechanical Minions Pack,https://store.steampowered.com/app/1531606/Evil_Genius_2__Mechanical_Minions_Pack/
2720,Tales of Arise,BANDAI NAMCO Entertainment,12723.0,0,"Action,RPG",740130.0,84.0,12723.0,BANDAI NAMCO Studios Inc.BANDAI NAMCO Entertainment,9 Sep 2021,http://steamcommunity.com/app/740130/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Anime,JRPG,RPG,Action RPG,Action,Singleplayer,Fantasy,Third Person,Open World,Story Rich,Magic,Combat,Adventure,Controller,Female Protagonist,Romance,Sexual Content,Character Customization,Hack and Slash,Multiplayer",Tales of Arise,https://store.steampowered.com/app/740130/Tales_of_Arise/
2728,Arboria,All in! Games,134.99,0,"Action,Adventure,Indie,RPG",924070.0,75.0,224.99,DreamplantAll in! Games,9 Sep 2021,http://steamcommunity.com/app/924070/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Roguelite,Dungeon Crawler,Third Person,Roguelike,Dark Fantasy,Early Access,Action RPG,Action Roguelike,Action,RPG,Indie,Violent,Fantasy,Atmospheric,Mystery,Procedural Generation,Difficult,Replay Value,Mythology,Singleplayer",Arboria,https://store.steampowered.com/app/924070/Arboria/
2820,Golf Club Wasteland,Untold Tales,64.99,0,"Casual,Indie,Sports",1556870.0,79.0,129.99,Demagog StudioUntold Tales,3 Sep 2021,http://steamcommunity.com/app/1556870/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Puzzle Platformer,2D Platformer,Atmospheric,Dystopian,Soundtrack,Casual,Story Rich,Post-apocalyptic,Dark Comedy,Platformer,Narration,Adventure,Physics,Puzzle,2D,Colorful,Stylized,Sci-fi,Singleplayer,Futuristic",Golf Club Wasteland,https://store.steampowered.com/app/1556870/Golf_Club_Wasteland/
2892,OPUS: Echo of Starsong, SIGONO INC.,2554.86,0,"Adventure,Indie",1504500.0,88.0,2554.86,SIGONO INC. SIGONO INC.,31 Aug 2021,http://steamcommunity.com/app/1504500/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"Story Rich,Visual Novel,Female Protagonist,Emotional,Interactive Fiction,Indie,Anime,Space,Singleplayer,Exploration,Adventure,Atmospheric,Soundtrack,Walking Simulator,2.5D,Colorful,Puzzle Platformer,Sci-fi,Mystery,Relaxing",OPUS: Echo of Starsong,https://store.steampowered.com/app/1504500/OPUS_Echo_of_Starsong/
2994,Tormented Souls,PQube Limited,89.24,0,"Action,Adventure",1367590.0,75.0,89.24,"Dual Effect, Abstract DigitalPQube Limited",26 Aug 2021,http://steamcommunity.com/app/1367590/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"Survival Horror,Horror,Puzzle,Psychological Horror,Atmospheric,Third Person,Female Protagonist,Combat,Singleplayer,Story Rich,Dark,Nudity,Hidden Object,Exploration,Survival,Gore,Old School,3D,Modern,Adventure",Tormented Souls,https://store.steampowered.com/app/1367590/Tormented_Souls/
3060,Psychonauts 2,Xbox Game Studios,129.99,0,"Action,Adventure",607080.0,89.0,129.99,Double Fine ProductionsXbox Game Studios,24 Aug 2021,http://steamcommunity.com/app/607080/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"Story Rich,3D Platformer,Singleplayer,Psychological,Comedy,Adventure,Funny,Platformer,Action,Psychedelic,Colorful,Cartoony,Sequel,Third Person,Surreal,Action-Adventure,Great Soundtrack,Cult Classic,Controller,Arcade",Psychonauts 2,https://store.steampowered.com/app/607080/Psychonauts_2/
3085,Guild of Dungeoneering Ultimate Edition,Gambrinous,62.99,0,"Indie,RPG",317820.0,72.0,62.99,GambrinousGambrinous,14 Jul 2015,http://steamcommunity.com/app/317820/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"Roguelike Deckbuilder,Roguelike,Deckbuilding,RPG,Card Game,Turn-Based,Indie,Dungeon Crawler,Singleplayer,Roguelite,Strategy,2D,Comedy,Great Soundtrack,Funny,Fantasy,Cute,Difficult,Mouse only,Family Friendly",Guild of Dungeoneering Ultimate Edition,https://store.steampowered.com/app/317820/Guild_of_Dungeoneering_Ultimate_Edition/
3172,MY HERO ONE'S JUSTICE 2,BANDAI NAMCO Entertainment,5359.0,0,Action,1058450.0,68.0,5359.0,BYKINGBANDAI NAMCO Entertainment,12 Mar 2020,http://steamcommunity.com/app/1058450/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Action,Anime,Fighting,Superhero,Multiplayer,3D Fighter,Character Customization,Controller,Open World,Local Multiplayer",MY HERO ONE'S JUSTICE 2,https://store.steampowered.com/app/1058450/MY_HERO_ONES_JUSTICE_2/
3192,Ambition: A Minuet in Power,Iceberg Interactive,103.99,0,"Adventure,Indie,RPG,Simulation",949200.0,75.0,103.99,Joy Manufacturing Co.Iceberg Interactive,18 Aug 2021,http://steamcommunity.com/app/949200/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Dating Sim,Choose Your Own Adventure,Visual Novel,Diplomacy,Political,Roguelite,Female Protagonist,Romance,RPG,2D,Alternate History,LGBTQ+,Historical,Otome,Funny,Choices Matter,Story Rich,Multiple Endings,Simulation,Hand-drawn",Ambition: A Minuet in Power,https://store.steampowered.com/app/949200/Ambition_A_Minuet_in_Power/
3305,NARAKA: BLADEPOINT,NetEase Games Montréal,1499.0,0,"Action,Adventure,Massively Multiplayer",1203220.0,71.0,1499.0,24 EntertainmentNetEase Games Montréal,24 EntertainmentPublisher:NetEase Games Montréal 11 Aug 2021,http://steamcommunity.com/app/1203220/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Battle Royale,Multiplayer,Sexual Content,Martial Arts,Survival,PvP,Hack and Slash,Third Person,Parkour,Action,Massively Multiplayer,Nudity,Violent,Gore,Swordplay,Character Customization,Fighting,Female Protagonist,Adventure,Anime",NARAKA: BLADEPOINT,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/
3456,The Ramp,Hyperparadise,55.29,0,"Casual,Indie,Simulation,Sports",1506510.0,82.0,78.99,HyperparadiseHyperparadise,3 Aug 2021,http://steamcommunity.com/app/1506510/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"Skateboarding,Sports,Skating,Relaxing,Snowboarding,BMX,Minimalist,Action,Sandbox,Controller,Arcade,Casual,3D,Singleplayer,Skiing,Stylized,Atmospheric,Indie,Driving,Simulation",The Ramp,https://store.steampowered.com/app/1506510/The_Ramp/
3458,GRIME,Akupara Games,179.98,0,"Action,Indie,RPG",1123050.0,81.0,179.98,Clover BiteAkupara Games,2 Aug 2021,http://steamcommunity.com/app/1123050/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Metroidvania,Souls-like,Platformer,Dark Fantasy,Difficult,Action-Adventure,Exploration,Action RPG,2.5D,Surreal,Action,Atmospheric,Adventure,Dark,Singleplayer,Side Scroller,Combat,Indie,Controller,Cinematic",GRIME,https://store.steampowered.com/app/1123050/GRIME/
3513,No Longer Home,Fellow Traveller,128.68,0,"Adventure,Casual,Indie",651490.0,73.0,128.68,"Humble Grove, Hana Lee, Cel Davison, Adrienne Lombardo, Eli RainsberryFellow Traveller",30 Jul 2021,http://steamcommunity.com/app/651490/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"Interactive Fiction,LGBTQ+,Story Rich,Point & Click,Minimalist,Emotional,Relaxing,Indie,Exploration,Stylized,Cute,Atmospheric,Visual Novel,Surreal,Adventure,Drama,Singleplayer,Conversation,Philosophical,Casual",No Longer Home,https://store.steampowered.com/app/651490/No_Longer_Home/
3544,Eldest Souls,"United Label, CI Games",389.99,0,"Action,Adventure,Indie,RPG",1108590.0,76.0,599.99,"Fallen Flag StudioUnited Label, CI Games",29 Jul 2021,http://steamcommunity.com/app/1108590/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Dark Fantasy,Souls-like,Singleplayer,Action RPG,Pixel Graphics,Difficult,Indie,Hack and Slash,Isometric,Lore-Rich,Action,Fantasy,Anime,Adventure,Lovecraftian,Medieval,Combat,RPG,Violent,Boss Rush",Eldest Souls,https://store.steampowered.com/app/1108590/Eldest_Souls/
3570,The Forgotten City,Dear Villagers,349.98,0,"Adventure,Indie,RPG",874260.0,84.0,349.98,Modern StorytellerDear Villagers,28 Jul 2021,http://steamcommunity.com/app/874260/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"Adventure,Time Travel,Exploration,Indie,RPG,Mystery,Choices Matter,Investigation,Story Rich,First-Person,Walking Simulator,Multiple Endings,Atmospheric,Great Soundtrack,Remake,Philosophical,Fantasy,Open World,Silent Protagonist,Beautiful",The Forgotten City,https://store.steampowered.com/app/874260/The_Forgotten_City/
3596,Clone Drone in the Danger Zone,Doborog Games,157.49,0,"Action,Indie",597170.0,82.0,224.99,Doborog GamesDoborog Games,27 Jul 2021,http://steamcommunity.com/app/597170/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"Robots,Action,3D Fighter,Swordplay,Fighting,Indie,Multiplayer,Funny,Singleplayer,Voxel,Pixel Graphics,Co-op,Third Person,Futuristic,Difficult,Comedy,Online Co-Op,Survival,Dark Humor,Roguelike",Clone Drone in the Danger Zone,https://store.steampowered.com/app/597170/Clone_Drone_in_the_Danger_Zone/
3606,The Great Ace Attorney Chronicles,"CAPCOM Co., Ltd.",2120.0,0,Adventure,1158850.0,83.0,2120.0,"CAPCOM Co., Ltd.CAPCOM Co., Ltd.",26 Jul 2021,http://steamcommunity.com/app/1158850/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"Adventure,Visual Novel,Anime,3D,Text-Based,Mystery,Choose Your Own Adventure,Detective,Steampunk,Drama,Story Rich,Historical,Retro,Conversation,Singleplayer,Choices Matter,Puzzle,Great Soundtrack,Comedy,Point & Click",The Great Ace Attorney Chronicles,https://store.steampowered.com/app/1158850/The_Great_Ace_Attorney_Chronicles/
3613,Idol Manager,PLAYISM,179.99,0,"Indie,Simulation,Strategy",821880.0,73.0,224.99,Glitch PitchPLAYISM,26 Jul 2021,http://steamcommunity.com/app/821880/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Management,Simulation,Anime,Sexual Content,Strategy,Indie,Economy,Visual Novel,Romance,Moddable,Replay Value,Comedy,Nonlinear,Nudity,Cute,Point & Click,Mature,Hentai,Singleplayer,Dark Comedy",Idol Manager,https://store.steampowered.com/app/821880/Idol_Manager/
3720,Mini Motorways,Dinosaur Polo Club,116.99,0,"Casual,Indie,Simulation,Strategy",1127500.0,86.0,129.99,Dinosaur Polo ClubDinosaur Polo Club,20 Jul 2021,http://steamcommunity.com/app/1127500/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"Casual,Simulation,Strategy,Indie,Management,Puzzle,Minimalist,Relaxing,Singleplayer,Building,Transportation,Stylized,Beautiful,Top-Down,Great Soundtrack,Family Friendly,City Builder,Multiplayer,Resource Management",Mini Motorways,https://store.steampowered.com/app/1127500/Mini_Motorways/
3812,Ragnarock,Unknown,209.99,0,Unknown,1345820.0,87.0,279.99,Unknown,unknown,http://steamcommunity.com/app/1345820/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"Rhythm,VR,Multiplayer,Racing,PvP,Music,Casual,Arcade,Mythology,Naval,First-Person,Stylized,Rock Music,Sports,Atmospheric,Indie,Soundtrack,Singleplayer,Colorful",Ragnarock,https://store.steampowered.com/app/1345820/Ragnarock/
3816,F1® 2021,Electronic Arts,878.6,0,"Racing,Simulation,Sports",1134570.0,86.0,878.6,CodemastersElectronic Arts,15 Jul 2021,http://steamcommunity.com/app/1134570/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Racing,Driving,Immersive Sim,Sports,Automobile Sim,PvP,Controller,eSports,Split Screen,Simulation,3D,Realistic,Multiplayer,Co-op,Local Multiplayer,Cinematic,Online Co-Op,VR,Singleplayer,Arcade",F1® 2021,https://store.steampowered.com/app/1134570/F1_2021/
3919,Rollers of the Realm,Phantom Compass,129.99,0,"Action,Adventure,Casual,Indie,RPG",262470.0,68.0,129.99,Phantom CompassPhantom Compass,18 Nov 2014,http://steamcommunity.com/app/262470/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Pinball,RPG,Puzzle,Adventure,Casual,Indie,Action,Female Protagonist,Singleplayer,Controller,Arcade,Fantasy,Top-Down,Story Rich,Hack and Slash,Stylized,Family Friendly,Funny,Medieval,Class-Based",Rollers of the Realm,https://store.steampowered.com/app/262470/Rollers_of_the_Realm/
